name,vintage,rating,price_change
Chapoutier,2012,100,48.5429447853
Vogue,2007,95,30.0631735414
Ponsot,2008,96,23.2032854209
Rousseau,2009,95,9.5813953488
Rousseau,2012,96,8.8314776781
Rousseau,2008,95,8.2437275986
Vogue,2006,96,6.6666666667
Ampuis,2006,95,3.4798534799
Chapoutier,2010,100,2.8571428571
Rousseau,2005,98,-4.8611111111
Beaucastel,2012,96,-5.701754386
Beaucastel,2010,95,-6.7391304348
Chapoutier,2009,100,-7.0454545455
Clos Papes,2004,95,-7.1428571429
Vogue,2012,98,-8.4528301887
Clos Papes,2012,96,-10.3846153846
Ponsot,2007,95,-10.9333333333
Clos Papes,2011,96,-14.8888888889
Beaucastel,2007,96,-16.1666666667
Vogue,2005,96,-25
